S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
157,SUTLEJ CLUB,IAP-CPR-Day/Venue/PB-110,Ludhiana,Punjab,PB,Dr Sumati Verma
158,DAV PUBLIC SCHOOL,IAP-CPR-Day/Venue/PB-111,Sunam,Punjab,PB,Dr Sumeet Bansal
159,MODEL BASIC HIGH SCHOOL,IAP-CPR-Day/Venue/PB-112,Sunam,Punjab,PB,Dr Sumeet Bansal
160,JINDAL SUPER SPECIALITY HOSPITAL,IAP-CPR-Day/Venue/RJ-101,Bharatpur,Rajasthan,RJ,Dr Kapil Jindal
161,"MAHILA CHIKITSALAYA, SANGANERI GATE",IAP-CPR-Day/Venue/RJ-102,Jaipur,Rajasthan,RJ,Dr Neha Aggarwal
162,AGRAWAL HOSPITAL,IAP-CPR-Day/Venue/RJ-103,Tonk,Rajasthan,RJ,Dr Neha Aggarwal
163,NEW STNM HOSPITAL,IAP-CPR-Day/Venue/SK-101,Gangtok,Sikkim,SK,Dr Tsultem Doma Bhutia
164,ELANGO CORPORATION HIGHER SECONDARY SCHOOL,IAP-CPR-Day/Venue/TN-101,Madurai,Tamil Nadu,TN,Lenin Mr
165,"GRH AUDITORIUM, MADURAI MEDICAL COLLEGE",IAP-CPR-Day/Venue/TN-102,Madurai,Tamil Nadu,TN,M R Lenin
166,ADHIPARASAKTHI COLLEGE OF PHYSIOTHERAPY,IAP-CPR-Day/Venue/TN-103,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
167,ADHIPARASAKTHI MATRICULATION HIGHER SECONDARY SCHOOL,IAP-CPR-Day/Venue/TN-104,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
168,G.B.PUBLIC SCHOOL,IAP-CPR-Day/Venue/TN-105,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
169,LAKSHMI BANGARU ARTS AND SCIENCE COLLEGE,IAP-CPR-Day/Venue/TN-106,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
170,CMR INTERNATIONAL SCHOOL,IAP-CPR-Day/Venue/TG-101,Hyderabad,Telangana,TG,Dr Suma Priya
171,GITANJALI DEVSHALA,IAP-CPR-Day/Venue/TG-102,Hyderabad,Telangana,TG,Dr Suresh Kumar Panuganti
172,MALLA REDDY MEDICAL COLLEGE FOR WOMEN,IAP-CPR-Day/Venue/TG-103,Hyderabad,Telangana,TG,Dr Sumapriya M
173,YASHODA HOSPITALS,IAP-CPR-Day/Venue/TG-104,Hyderabad,Telangana,TG,Dr Nayani Sridevi
174,GOMTI DISTRICT HOSPITAL,IAP-CPR-Day/Venue/TR-101,Agartala,Tripura,TR,Dr Abhijeet Dutta
175,GOVT. MEDICAL COLLEGE,IAP-CPR-Day/Venue/TR-102,Agartala,Tripura,TR,Dr Chaiyan Chakma
176,DELHI PUBLIC SCHOOL,IAP-CPR-Day/Venue/UP-101,Agra,Uttar Pradesh,UP,Dr Sonia Bhatt
177,"F.H. MEDICAL COLLEGE & HOSPITAL, ETMADPUR",IAP-CPR-Day/Venue/UP-102,Agra,Uttar Pradesh,UP,Dr Shehraz Firoz
178,RAJKAMAL INTER COLLEGE,IAP-CPR-Day/Venue/UP-103,Agra,Uttar Pradesh,UP,Dr R N Sharma
179,GOVERNMENT INTER COLLEGE,IAP-CPR-Day/Venue/UP-104,Bareilly,Uttar Pradesh,UP,Dr Preeti Lata Rai
180,"RAJKIYA BALIKA HIGH SCHOOL, AHILADPUR",IAP-CPR-Day/Venue/UP-105,Bareilly,Uttar Pradesh,UP,Dr Anita Kumari
181,RAJKIYA BALIKA HIGH SCHOOL,IAP-CPR-Day/Venue/UP-106,Bareilly,Uttar Pradesh,UP,Dr Anita Kumari
182,"RAJKIYA INTER COLLEGE, BALLIPUR",IAP-CPR-Day/Venue/UP-107,Bareilly,Uttar Pradesh,UP,Dr Preeti Lata Rai
183,"KAILASHWATI INTER COLLEGE, ARTHLA",IAP-CPR-Day/Venue/UP-108,Ghaziabad,Uttar Pradesh,UP,Dr Rajeev Kumar
184,"ST. THOMAS SCHOOL, SAHIBABAD",IAP-CPR-Day/Venue/UP-109,Ghaziabad,Uttar Pradesh,UP,Dr Rajeev Kumar
185,SARASWATI BALIKA VIDYA MANDIR,IAP-CPR-Day/Venue/UP-110,Jhansi,Uttar Pradesh,UP,Dr Sapna Gupta
186,"REGENCY HOSPITAL, KANPUR",IAP-CPR-Day/Venue/UP-111,Kanpur Nagar,Uttar Pradesh,UP,Dr C P Singh
187,GIRLS' HIGH SCHOOL & COLLEGE,IAP-CPR-Day/Venue/UP-112,Prayagraj,Uttar Pradesh,UP,Dr Ritu Gupta
188,GOVERNMENT DOON MEDICAL COLLEGE,IAP-CPR-Day/Venue/UK-101,Dehradun,Uttarakhand,UK,Dr Ashok Kumar
189,HIMALAYAN INSTITUTE OF MEDICAL SCIENCES,IAP-CPR-Day/Venue/UK-102,Dehradun,Uttarakhand,UK,Dr Ashish Simalti
190,MEHER HOSPITAL,IAP-CPR-Day/Venue/UK-103,Dehradun,Uttarakhand,UK,Dr Hans Vaish
191,SAHOTA SUPER SPECIALITY HOSPITAL,IAP-CPR-Day/Venue/UK-104,Kashipur,Uttarakhand,UK,Dr Sahota
192,ESI HOSPITAL,IAP-CPR-Day/Venue/WB-101,Asansol,West Bengal,WB,Mrs Purnima Chakraborty; Mrs Bani Misra; Mrs Arpita Sen; Mrs Suteshna Mandal; Dr Jaygopal Ray
193,ESI HOSPITAL,IAP-CPR-Day/Venue/WB-102,Bandel,West Bengal,WB,Dr A Majumder
194,EASTERN RAILWAY HOSPITAL LILUAH,IAP-CPR-Day/Venue/WB-103,Howrah,West Bengal,WB,Dr Shilpi Siddhanta
195,BURDWAN MEDICAL COLLEGE AND HOSPITAL,IAP-CPR-Day/Venue/WB-104,Bardhaman,West Bengal,WB,Debasree Guha
196,"ESI HOSPITAL, BUDGE BUDGE, SOUTH 24 PARGANAS",IAP-CPR-Day/Venue/WB-105,Budge Budge,West Bengal,WB,Dr Subhranil Mitra
197,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL,IAP-CPR-Day/Venue/WB-106,Budge Budge,West Bengal,WB,Dr Manas Kumar Mahapatra
198,GOURIDEVI INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL,IAP-CPR-Day/Venue/WB-107,Durgapur,West Bengal,WB,Debanjana Basak
199,NARAYANA SUPERSPECIALITY HOSPITAL,IAP-CPR-Day/Venue/WB-108,Howrah,West Bengal,WB,Amitabha Chattopadhyay
200,NARAYANA SUPERSPECIALITY HOSPITAL,IAP-CPR-Day/Venue/WB-109,Howrah,West Bengal,WB,Amitabha Chattopadhyay
201,APOLLO MULTISPECIALITY HOSPITALS,IAP-CPR-Day/Venue/WB-110,Kolkata,West Bengal,WB,Dr Amrita Roy
202,"COMMUNITY HALL, DUM DUM ESTATE, OFDC",IAP-CPR-Day/Venue/WB-111,Kolkata,West Bengal,WB,Dr Santa Chattopadhyay
203,"DIRECTORATE OF ESI (MB) SCHEME, SALTLAKE, GB BLOCK",IAP-CPR-Day/Venue/WB-112,Kolkata,West Bengal,WB,Dr Anjan Kumar Dutta
204,"DUMDUM ESTATE, OFDC 1",IAP-CPR-Day/Venue/WB-113,Kolkata,West Bengal,WB,Dr Santa Chattopadhyay
205,"ESI HOSPITAL, KAMARHATI",IAP-CPR-Day/Venue/WB-114,Kolkata,West Bengal,WB,Dr Dibyendu Sengupta
206,"ESI HOSPITAL, MANIKTALA",IAP-CPR-Day/Venue/WB-115,Kolkata,West Bengal,WB,"Dr Wasim Raja,; Dr Punit Goenka"
207,INSTITUTE OF CHILD HEALTH,IAP-CPR-Day/Venue/WB-116,Kolkata,West Bengal,WB,Dr Anindita Nandi
208,"PM SHRI KENDRIYA VIDYALAYA, DUM DUM",IAP-CPR-Day/Venue/WB-117,Kolkata,West Bengal,WB,Dr Santa Chattopadhyay
209,RAMAKRISHNA MISSION VIVEKANANDA EDUCATIONAL AND RESEARCH INSTITUTE (RKMVERI),IAP-CPR-Day/Venue/WB-118,Kolkata,West Bengal,WB,Dr Sudipta Tripathi
210,RAGHUNATHPUR SUPERSPECIALITY HOSPITAL,IAP-CPR-Day/Venue/WB-119,Purulia,West Bengal,WB,Dr Abhisek Majhi
211,"BIRLA DIVYA JYOTI SCHOOL, MATIGARA",IAP-CPR-Day/Venue/WB-120,Siliguri,West Bengal,WB,Ganga Prasad Sapkota
212,"LITTLE ANGEL SCHOOL, MILAN MORE",IAP-CPR-Day/Venue/WB-121,Siliguri,West Bengal,WB,Ganga Prasad Sapkota; Dr Ganga Sapkota
213,KURNOOL MEDICAL COLLEGE VENUE 1,IAP-CPR-Day/Venue/AP-121,KURNOOL,Andhra Pradesh,AP,
214,KURNOOL MEDICAL COLLEGE VENUE 2,IAP-CPR-Day/Venue/AP-122,KURNOOL,Andhra Pradesh,AP,
215,KURNOOL MEDICAL COLLEGE VENUE 3,IAP-CPR-Day/Venue/AP-123,KURNOOL,Andhra Pradesh,AP,
216,KURNOOL MEDICAL COLLEGE VENUE 4,IAP-CPR-Day/Venue/AP-124,KURNOOL,Andhra Pradesh,AP,
217,SMC HOSPITAL PEDAVEGI,IAP-CPR-Day/Venue/AP-125,ELURU,Andhra Pradesh,AP,
218,"SRI PADMAVATHI MEDICAL COLLEGE, SIVMS",IAP-CPR-Day/Venue/AP-126,Tirupati,Andhra Pradesh,AP,
219,AIIMS GUWAHATI,IAP-CPR-Day/Venue/AS-106,Guwahati,Assam,AS,DR. BIPUL KUMAR DAS
