S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
115,MAHARASHTRA INSTITUTE OF MEDICAL SCIENCES & RESEARCH,IAP-CPR-Day/Venue/MH-104,Latur,Maharashtra,MH,Dr Deepika Mashalkar
116,SHRIKISHAN SOMANI SCHOOL,IAP-CPR-Day/Venue/MH-105,Latur,Maharashtra,MH,Dr Deepika Mashalkar
117,"N.K. DESAI COLLEGE, KILLA-PARDI",IAP-CPR-Day/Venue/MH-106,Mumbai,Maharashtra,MH,Dr Rajesh Kasla
118,ASHOKA MEDICOVER HOSPITAL,IAP-CPR-Day/Venue/MH-107,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
119,ASHOKA MEDICOVER HOSPITAL,IAP-CPR-Day/Venue/MH-108,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
120,CIVIL HOSPITAL / MAHARASHTRA POSTGRADUATE INSTITUTE OF MEDICAL EDUCATION & RESEARCH,IAP-CPR-Day/Venue/MH-109,Nashik,Maharashtra,MH,Dr Avinash Gore
121,"DR. VASANTRAO PAWAR MEDICAL COLLEGE, HOSPITAL AND RESEARCH CENTRE",IAP-CPR-Day/Venue/MH-110,Nashik,Maharashtra,MH,Dr Rahul Koppikar
122,K.K. WAGH COLLEGE OF AGRICULTURE,IAP-CPR-Day/Venue/MH-111,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
123,"MVPS'S SHRI CHHATRAPATI SHIVAJI MAHARAJ MADHYAMIK ANI UCHHMADHYAMIK VIDYALAY, MAKHMALABAD",IAP-CPR-Day/Venue/MH-112,Nashik,Maharashtra,MH,Dr Rahul Koppikar
124,SMBT INSTITUTE OF MEDICAL SCIENCES & RESEARCH CENTRE,IAP-CPR-Day/Venue/MH-113,Nashik,Maharashtra,MH,Dr Prasanna Parashare
125,"DISTRICT HOSPITAL AND MPGIMER, NASHIK",IAP-CPR-Day/Venue/MH-114,Nasik,Maharashtra,MH,Dr Ishwar Vijay Gadhari
126,ITM PANVEL,IAP-CPR-Day/Venue/MH-115,Navi Mumbai,Maharashtra,MH,Dr Jeeten; Dr A Gavhane
127,MGM MEDICAL COLLEGE,IAP-CPR-Day/Venue/MH-116,Navi Mumbai,Maharashtra,MH,Dr Anjali Otiv
128,PANVEL CITY POLICE STATION,IAP-CPR-Day/Venue/MH-117,Navi Mumbai,Maharashtra,MH,Dr Jeeten; Dr A Gavhane
129,B.J. GOVERNMENT MEDICAL COLLEGE,IAP-CPR-Day/Venue/MH-118,Pune,Maharashtra,MH,Dr Rahul Dawre
130,"SWAMI VIVEKANAND CBSE SCHOOL, URULI KANCHAN",IAP-CPR-Day/Venue/MH-119,Pune,Maharashtra,MH,Dr Ankita Agrawal
131,BETHANY HOSPITAL,IAP-CPR-Day/Venue/MH-120,Thane,Maharashtra,MH,Diana Raheesh
132,"MULTIPURPOSE HALL, CURRAE HOSPITAL",IAP-CPR-Day/Venue/MH-121,Thane,Maharashtra,MH,Dr Archana Kavalakkat
133,"K.K. WAGH COLLEGE OF FOOD TECHNOLOGY, NASHIK",IAP-CPR-Day/Venue/MH-122,Yavatmal,Maharashtra,MH,Dr Aieshwarya Pradhan; Dr Tripti Harshad Mahatme
134,MAHATMA JYOTIBA PHULE COLLEGE,IAP-CPR-Day/Venue/MH-123,Yavatmal,Maharashtra,MH,Dr Aieshwarya Pradhan
135,POWER UP GYM,IAP-CPR-Day/Venue/MH-124,Yavatmal,Maharashtra,MH,Dr Vishal Chavan
136,MAWROH SECONDARY SCHOOL,IAP-CPR-Day/Venue/ML-101,Shillong,Meghalaya,ML,Dr Hunsi Giri
137,NAZARETH HOSPITAL,IAP-CPR-Day/Venue/ML-102,Shillong,Meghalaya,ML,Dr Palash Ranjan Gogoi
138,RATSON ARENA FOOTBALL GROUND,IAP-CPR-Day/Venue/ML-103,Shillong,Meghalaya,ML,Dr Palash Ranjan Gogoi
139,SHILLONG MEDICAL COLLEGE,IAP-CPR-Day/Venue/ML-104,Shillong,Meghalaya,ML,Dr Hunsi Giri
140,SHILLONG POLYTECHNIC COLLEGE,IAP-CPR-Day/Venue/ML-105,Shillong,Meghalaya,ML,Dr Hunsi Giri
141,ST. MARGARET'S HIGHER SECONDARY SCHOOL,IAP-CPR-Day/Venue/ML-106,Shillong,Meghalaya,ML,Dr Santanu Deb
142,BHUBANESWAR MUNICIPAL CORPORATION OFFICE,IAP-CPR-Day/Venue/OD-101,Bhubaneswar,Odisha,OD,Dr Isha Panda
143,PM SHRI KENDRIYA VIDYALAYA,IAP-CPR-Day/Venue/OD-102,Cuttack,Odisha,OD,Dr Sarthak Naik
144,"PM SHRI KENDRIYA VIDYALAYA NO. 1, CDA",IAP-CPR-Day/Venue/OD-103,Cuttack,Odisha,OD,Dr Sarthak Naik
145,RABINDRA VIDYA NIKETAN,IAP-CPR-Day/Venue/OD-104,Keonjhar,Odisha,OD,Dr Narayan Santuka
146,JAWAHAR NAVODAYA VIDYALAYA,IAP-CPR-Day/Venue/OD-105,Sambalpur,Odisha,OD,Mrs Namita Tripathy
147,KALINGA INSTITUTE OF SOCIAL SCIENCES,IAP-CPR-Day/Venue/OD-106,Bhubaneswar,Odisha,OD,Dr Mirabai Dass
148,SRI GURU RAM DAS INSTITUTE OF MEDICAL SCIENCES & RESEARCH,IAP-CPR-Day/Venue/PB-101,Amritsar,Punjab,PB,Dr Gursharan Singh Narang
149,SRI GURU RAM DAS UNIVERSITY OF HEALTH SCIENCES,IAP-CPR-Day/Venue/PB-102,Amritsar,Punjab,PB,Dr Savita Rani; Dr Khushwant Kaur
150,JALANDHAR PUBLIC SCHOOL,IAP-CPR-Day/Venue/PB-103,Jalandhar,Punjab,PB,Dr Anuradha Bansal
151,ST.GEORGE'S CONVENT SCHOOL,IAP-CPR-Day/Venue/PB-104,Jalandhar,Punjab,PB,Dr Jatinder Singh
152,"DAV PUBLIC SCHOOL, BRS NAGAR",IAP-CPR-Day/Venue/PB-105,Ludhiana,Punjab,PB,Dr Gs Dhooria
153,MOUNT INTERNATIONAL SCHOOL,IAP-CPR-Day/Venue/PB-106,Ludhiana,Punjab,PB,Dr Sujata Bhatti
154,MOUNTVIEW INTERNATIONAL SCHOOL,IAP-CPR-Day/Venue/PB-107,Ludhiana,Punjab,PB,Dr Sujata Bhatti
155,RYAN INTERNATIONAL SCHOOL,IAP-CPR-Day/Venue/PB-108,Ludhiana,Punjab,PB,Dr Nidhie Shajan
156,SPRINGDALE SCHOOL,IAP-CPR-Day/Venue/PB-109,Ludhiana,Punjab,PB,Dr Sujata Bhatti
