S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
36,"College of Nursing, Indira Gandhi Institute of Medical Sciences",IAP-CPR-Day/Venue/BR-109,Patna,Bihar,BR,Dr Amit Kumar
37,Indira Gandhi Institute of Medical Sciences,IAP-CPR-Day/Venue/BR-110,Patna,Bihar,BR,Dr Amit Kumar
38,Jay Prabha Medanta Super Specialty Hospital,IAP-CPR-Day/Venue/BR-111,Patna,Bihar,BR,Dr Neeta Kevlani
39,Nalanda Medical College and Hospital,IAP-CPR-Day/Venue/BR-112,Patna,Bihar,BR,Prof (Dr ) Rakesh Kumar
40,Netaji Subhas Medical College and Hospital Bihita,IAP-CPR-Day/Venue/BR-113,Patna,Bihar,BR,Dr Sweta
41,Ram Janki Medical College and Hospital,IAP-CPR-Day/Venue/BR-114,Samastipur,Bihar,BR,Dr Nishant
42,"Bhavan Vidyalaya, Chandigarh",IAP-CPR-Day/Venue/CH-101,Chandigarh,Chandigarh,CH,Dr Neeraj Dhawan
43,"Carmel Convent School, Chandigarh",IAP-CPR-Day/Venue/CH-102,Chandigarh,Chandigarh,CH,Pooja Chetal; Poonam Verma
44,"Centre for Distance and Online Education, Panjab University",IAP-CPR-Day/Venue/CH-103,Chandigarh,Chandigarh,CH,Poonam Verma
45,"Postgraduate Institute of Medical Education and Research, Chandigarh",IAP-CPR-Day/Venue/CH-104,Chandigarh,Chandigarh,CH,Manoj Kumar
46,St. John High School,IAP-CPR-Day/Venue/CH-105,Chandigarh,Chandigarh,CH,Dr Gunjan Bhaveja
47,"Vivek High School, Chandigarh",IAP-CPR-Day/Venue/CH-106,Chandigarh,Chandigarh,CH,Dr Geetanjali Jindal
48,Durg-Bhilai Academy of Pediatrics,IAP-CPR-Day/Venue/CG-101,Bhilai,Chhattisgarh,CG,Dr Kaushik Kishore
49,P.G. College of Nursing,IAP-CPR-Day/Venue/CG-102,Bhilai,Chhattisgarh,CG,Dr Kaushik Kishore
50,"Shree Padmakshi Global School, Bilaspur",IAP-CPR-Day/Venue/CG-103,Bilaspur,Chhattisgarh,CG,Dr Nikita Agarwal
51,"All India Institute of Medical Sciences, Raipur",IAP-CPR-Day/Venue/CG-104,Raipur,Chhattisgarh,CG,Dr Shubham Verma
52,Bharat Mata School,IAP-CPR-Day/Venue/CG-105,Raipur,Chhattisgarh,CG,Dr Shubham Verma
53,"College of Nursing, All India Institute of Medical Sciences, Raipur",IAP-CPR-Day/Venue/CG-106,Raipur,Chhattisgarh,CG,Dr Shubham Verma
54,"Akashdeep Model Senior Secondary School, Rohini",IAP-CPR-Day/Venue/DL-101,Delhi,Delhi,DL,Mr Manish Sharma Nursing Officer
55,"B.R. Ambedkar School, Sector 10, Dwarka",IAP-CPR-Day/Venue/DL-102,Delhi,Delhi,DL,Dr Pankaj Goel
56,"Iskcon Temple, Dwarka",IAP-CPR-Day/Venue/DL-103,Delhi,Delhi,DL,"Dr Richa,; Dr Surinder Yadav"
57,"Maharaja Agrasen Hospital, Dwarka",IAP-CPR-Day/Venue/DL-104,Delhi,Delhi,DL,Dr Bharathi Saxena
58,"St. Martin'S Diocesan School, Delhi Cantt",IAP-CPR-Day/Venue/DL-105,Delhi,Delhi,DL,Dr Radhika Sachdev
59,"Maharaja Agrasen Hospital, Punjabi Bagh",IAP-CPR-Day/Venue/DL-106,Punjabi Bagh,Delhi,DL,Dr Deepak Singla
60,"Gujarat Institute of Nursing Education and Research, Ahmedabad",IAP-CPR-Day/Venue/GJ-101,Ahmedabad,Gujarat,GJ,Dr Arif Vohra
61,Shree Swaminarayan Gadi Institute,IAP-CPR-Day/Venue/GJ-102,Ahmedabad,Gujarat,GJ,Dr Arif Vohra
62,Srcc Women and Child Superspeciality Hospital,IAP-CPR-Day/Venue/GJ-103,Ahmedabad,Gujarat,GJ,Dr Arif Vohra
63,"Pramukhswami Medical College and Shree Krishna Hospital, Karamsad",IAP-CPR-Day/Venue/GJ-104,"Karamsad, Anand",Gujarat,GJ,Dr Amit Kumar; Dr Bhavdeep M Mungala
64,Utkarsh School of Excellence,IAP-CPR-Day/Venue/GJ-105,Rajkot,Gujarat,GJ,Shivam Barchha
65,Alfesani School,IAP-CPR-Day/Venue/GJ-106,Surat,Gujarat,GJ,Dr Prashant Kariya
66,Bhulka Vihar School,IAP-CPR-Day/Venue/GJ-107,Surat,Gujarat,GJ,Dr Prashant Kariya
67,Fitholics,IAP-CPR-Day/Venue/GJ-108,Surat,Gujarat,GJ,Dr Prashant Kariya
68,Maharaja Agrasen School,IAP-CPR-Day/Venue/GJ-109,Surat,Gujarat,GJ,Dr Prashant Kariya
69,Millennium School,IAP-CPR-Day/Venue/GJ-110,Surat,Gujarat,GJ,Dr Prashant Kariya
70,Seven Steps School,IAP-CPR-Day/Venue/GJ-111,Surat,Gujarat,GJ,Dr Prashant Kariya
71,Vibrant Physiotherapy,IAP-CPR-Day/Venue/GJ-112,Surat,Gujarat,GJ,Dr Prashant Kariya
72,"Medical College Building, 5Th Floor",IAP-CPR-Day/Venue/HR-101,Kurukshetra,Haryana,HR,Dr Baljeet Maini
73,"Pathania Public School, Rohtak",IAP-CPR-Day/Venue/HR-102,Rohtak,Haryana,HR,Dr Manoj Rawal
74,"Indira Gandhi Medical College, Shimla",IAP-CPR-Day/Venue/HP-101,Shimla,Himachal Pradesh,HP,Dr Parveen Bhardawaj
75,"Dept of Pediatrics, GMC Anantnag",IAP-CPR-Day/Venue/JK-101,Anantnag,Jammu & Kashmir,JK,Dr Showkat Hussain Tali
76,"Government Medical College, Jammu",IAP-CPR-Day/Venue/JK-102,Baramulla,Jammu & Kashmir,JK,Dr Irshad
77,"All India Institute of Medical Sciences, Vijaypur, Jammu",IAP-CPR-Day/Venue/JK-103,"Vijaypur, Jammu",Jammu & Kashmir,JK,Dr Samriti Gupta
78,"Rani Hospital, Ranchi",IAP-CPR-Day/Venue/JH-101,Ranchi,Jharkhand,JH,Dr Vishwanath Brahmachari
79,"Basaveshwar International Public School, Bagalkot",IAP-CPR-Day/Venue/KA-101,Bagalkote,Karnataka,KA,Dr Ramesh Pol
80,District Stadium,IAP-CPR-Day/Venue/KA-102,Bagalkote,Karnataka,KA,Dr Kshamata Kerudi
81,Bangalore Baptist Hospital,IAP-CPR-Day/Venue/KA-103,Bengaluru,Karnataka,KA,Dr Ramya S
82,"Government First Grade College, Thirthahalli",IAP-CPR-Day/Venue/KA-104,Thirthahalli,Karnataka,KA,Abhijith Y V
83,Blde Samanvaya School Vijayapura,IAP-CPR-Day/Venue/KA-105,Vijayapura,Karnataka,KA,Dr Prakash V J
84,"Government Medical College, Ernakulam",IAP-CPR-Day/Venue/KL-101,Kochi,Kerala,KL,Dr Ashwathi
85,"Almas Hospital, Kottakkal",IAP-CPR-Day/Venue/KL-102,Kottakkal,Kerala,KL,Dr Vysakh K
86,Malabar Medical College Hospital and Research Centre,IAP-CPR-Day/Venue/KL-103,Ulliyeri,Kerala,KL,Kavitha Tk
87,"Qamar Ali Akhone Memorial Hospital, Kargil",IAP-CPR-Day/Venue/LA-101,Kargil,Ladakh,LA,Dr Iftikhar Ali
88,Bhopal Homoeopathic Medical College and Hospital,IAP-CPR-Day/Venue/MP-101,Bhopal,Madhya Pradesh,MP,Dr Girish Bhatt
89,"Department of Pediatrics, Gandhi Medical College, Bhopal",IAP-CPR-Day/Venue/MP-102,Bhopal,Madhya Pradesh,MP,Dr Bharati Choubey; Dr Rajesh Patil
90,"Department of Pediatrics, People'S College of Medical Sciences & Research Centre, Bhopal",IAP-CPR-Day/Venue/MP-103,Bhopal,Madhya Pradesh,MP,Dr Dinesh Mekle
91,"Government College of Nursing, Gandhi Medical College, Bhopal",IAP-CPR-Day/Venue/MP-104,Bhopal,Madhya Pradesh,MP,Dr Rajesh Patil
92,Maharishi Bal Vidya Mandir,IAP-CPR-Day/Venue/MP-105,Bhopal,Madhya Pradesh,MP,Dr Bharati Choubey
93,"People'S College of Medical Sciences & Research Centre, Bhopal",IAP-CPR-Day/Venue/MP-106,Bhopal,Madhya Pradesh,MP,Dr Dinesh Mekle
94,Rkdf Medical College and Research Centre,IAP-CPR-Day/Venue/MP-107,Bhopal,Madhya Pradesh,MP,Dr Dinesh Mekle
95,Rkdf Medical College Hospital & Research Centre,IAP-CPR-Day/Venue/MP-108,Bhopal,Madhya Pradesh,MP,Dr Rupali Chaurasia
96,Silver Bells Convent School,IAP-CPR-Day/Venue/MP-109,Bhopal,Madhya Pradesh,MP,Dr Girish Bhatt
97,Tender Care Hospital,IAP-CPR-Day/Venue/MP-110,Bhopal,Madhya Pradesh,MP,Dr Dinesh Mekle
98,Bhartiyam Vidya Niketan,IAP-CPR-Day/Venue/MP-111,Gwalior,Madhya Pradesh,MP,Dr Ajay Upadhyay
99,Delhi Public School,IAP-CPR-Day/Venue/MP-112,Gwalior,Madhya Pradesh,MP,Dr Rashmi Gupta; Dr Pv Arya; Dr Praveen Mittal
100,Doon Public School,IAP-CPR-Day/Venue/MP-113,Gwalior,Madhya Pradesh,MP,Dr Rashmi Gupta
101,Maharana Pratap College of Dentistry,IAP-CPR-Day/Venue/MP-114,Gwalior,Madhya Pradesh,MP,Dr Pv Arya; Dr Praveen Mittal
102,Ncc Officers' Training Academy,IAP-CPR-Day/Venue/MP-115,Gwalior,Madhya Pradesh,MP,Dr Rashmi Gupta
103,"Officers Training Academy, Gwalior",IAP-CPR-Day/Venue/MP-116,Gwalior,Madhya Pradesh,MP,Dr Rashmi Gupta
104,"Scindia Kanya Vidyalaya, Gwalior",IAP-CPR-Day/Venue/MP-117,Gwalior,Madhya Pradesh,MP,Dr Rashmi Gupta
105,Kiddy�S Corner Public School,IAP-CPR-Day/Venue/MP-118,Gwalkor,Madhya Pradesh,MP,Dr Ajay Upadhyay; Dr Praveen Mittal
106,Bal Niketan Higher Secondary School,IAP-CPR-Day/Venue/MP-119,Indore,Madhya Pradesh,MP,Dr; Dr Anuradha Jain
107,Bal Niketan School,IAP-CPR-Day/Venue/MP-120,Indore,Madhya Pradesh,MP,Dr; Dr Anuradha Jain
108,Mahatma Gandhi Memorial Government Medical College,IAP-CPR-Day/Venue/MP-121,Indore,Madhya Pradesh,MP,Dr Sanjay Silawat
109,"Pioneer Convent School, Indore",IAP-CPR-Day/Venue/MP-122,Indore,Madhya Pradesh,MP,Dr Ratnesh Khare
110,"Police Line, Khandwa",IAP-CPR-Day/Venue/MP-123,Khandwa,Madhya Pradesh,MP,Dr Garima Agrawal
111,"Shivani Paramedical College, Sohagpur, Shahdol",IAP-CPR-Day/Venue/MP-124,Shahdol,Madhya Pradesh,MP,Dr Rinu Sharma
112,"Aided High School, Buldhana",IAP-CPR-Day/Venue/MH-101,Buldhana,Maharashtra,MH,Dr Dipali Jambhale
113,"Government Nursing College, Buldhana",IAP-CPR-Day/Venue/MH-102,Buldhana,Maharashtra,MH,Dr Dipali Jambhale
114,"Rajmata Jijau Government Medical College, Buldhana",IAP-CPR-Day/Venue/MH-103,Buldhana,Maharashtra,MH,Dr Dipali Jambhale
115,"Maharashtra Institute of Medical Sciences & Research, Latur",IAP-CPR-Day/Venue/MH-104,Latur,Maharashtra,MH,Dr Deepika Mashalkar
