SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
21840,421633,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21842,421655,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21844,421715,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21845,421829,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21846,421862,Self-Financed Merit,"SRM Medical College Hospital & Research Centre, Kancheepuram,SRM MEDICAL",Open,General
21847,421884,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21848,421899,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,EWS
21849,422037,Self-Financed Merit,"DY Patil University, School of Medicine,Survey no 124&126, MIDC Road , Ambi, Taluka",Open,General
21850,422066,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21851,422141,Self-Financed Merit,"ST Peters Medical College, Hospital & Research Institute,Dr MGR Nagar, Near AERI",Open,OBC
21852,422278,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,General
21853,422280,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21854,422310,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21856,422351,Self-Financed Merit,"DY Patil University, School of Medicine,Survey no 124&126, MIDC Road , Ambi, Taluka",Open,OBC
21857,422384,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21858,422398,Self-Financed Merit,"Faculty of Medicine , Sri Lalithambigai Medical College and Hospital,Faculty of Medicine",Open,OBC
21859,422432,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,OBC
21860,422437,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21861,422628,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,EWS
21862,422691,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21863,422720,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,OBC
21864,422764,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21866,422833,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21867,422877,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21868,422898,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21870,423059,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21871,423060,Self-Financed Merit,"ST Peters Medical College, Hospital & Research Institute,Dr MGR Nagar, Near AERI",Open,General
21872,423086,All India,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur,Ambala Road,",Open PwD,OBC PwD
21874,423176,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21876,423364,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,General
21877,423402,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,OBC
21878,423422,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,SC
21879,423795,All India,"College of Medicine and Sagore Dutta Hospital, Kolkata,578, B.T. Road, Kamarhati,",OBC PwD,OBC PwD
21880,423816,IP University Quota,"ESIC Medical College & Hospital, Basaidarapur, New Delhi,ESIC MEDICAL COLLEGE",Open PwD,General PwD
21881,423827,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21882,423830,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,General
21883,423846,Self-Financed Merit,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",Open,General
21884,424015,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,OBC
21885,424082,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21886,424101,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21887,424133,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21888,424161,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21890,424211,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,EWS
21891,424282,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21893,424328,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21894,424471,Self-Financed Merit,"GITAM Institute of Medical Sciences and Research, Visakhapatnam,Gandhi Institute of",Open,General
21895,424518,Self-Financed Merit,"Chettinad Institute of Medical Education and Research,D.K Plantation, BEML Nagar,",Open,General
