State,InstituteType,MCCCode,MCCInstitute,Quota,SeatCategory,SeatsOfferedR1,SeatsAllottedR1,NetDifference,FillRate,BestAIR,Q1AIR,MedianAIR,Q3AIR,HighestAIR
Himachal Pradesh,All India Institute Of Medical Science(AIIMS),200530,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001",Open Seat Quota,Open,48,48,0,1.0,892,1656.5,1890.5,2128.5,2260
Himachal Pradesh,All India Institute Of Medical Science(AIIMS),200530,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001",Open Seat Quota,Open PwD,3,3,0,1.0,200336,201470.5,202605.0,204019.5,205434
Himachal Pradesh,All India Institute Of Medical Science(AIIMS),200530,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001",Open Seat Quota,SC,17,17,0,1.0,9641,14496.0,17633.0,19230.0,20129
Himachal Pradesh,All India Institute Of Medical Science(AIIMS),200530,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001",Open Seat Quota,SC PwD,1,1,0,1.0,386020,386020.0,386020.0,386020.0,386020
Himachal Pradesh,All India Institute Of Medical Science(AIIMS),200530,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001",Open Seat Quota,ST,9,9,0,1.0,10596,19099.0,26756.0,30175.0,30805
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,EWS,9,9,0,1.0,4403,4607.0,4678.0,4710.0,4802
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,EWS PwD,1,1,0,1.0,285373,285373.0,285373.0,285373.0,285373
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,OBC,26,26,0,1.0,3046,3213.5,3506.5,3694.25,3823
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,OBC PwD,1,1,0,1.0,300462,300462.0,300462.0,300462.0,300462
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,Open,39,39,0,1.0,1245,2497.5,2706.0,2879.5,2997
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,Open PwD,2,2,0,1.0,147637,158016.75,168396.5,178776.25,189156
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,SC,14,14,0,1.0,8048,21413.5,24030.0,26825.5,27539
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,SC PwD,1,1,0,1.0,603010,603010.0,603010.0,603010.0,603010
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,ST,6,6,0,1.0,25959,29832.25,31722.5,34641.0,37116
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,ST PwD,1,1,0,1.0,478546,478546.0,478546.0,478546.0,478546
